job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,Posted_as_on_22_5_2022
Electronics Validation Engineer,Cyient,3.7,(2658 Reviews),2-6 Yrs,Not disclosed,Pune,Support new project quotation development activities as requiredSkills & Experience,"Product engineering
Semiconductor
Data analysis
Aerospace
Process improvement
Healthcare
EMC
Sensors",30+ DAYS AGO
Research Scientist,FireEye CyberSecurity Pvt Ltd,4,(30 Reviews),1-5 Yrs,Not disclosed,Bengaluru,FireEye is the leader in intelligence- led security- as- a- service. Working as a seaml...,"IT Skills
Python
Big Data
Computer science
C++
Data analysis
cyber security
Consulting",30+ DAYS AGO
Electronics Validation Engineer,Cyient,3.7,(2658 Reviews),2-6 Yrs,Not disclosed,Pune,Support new project quotation development activities as requiredSkills & Experience,"Product engineering
Semiconductor
Data analysis
Aerospace
Process improvement
Healthcare
EMC
Sensors",30+ DAYS AGO
Research Scientist,FireEye CyberSecurity Pvt Ltd,4,(30 Reviews),1-5 Yrs,Not disclosed,Bengaluru,FireEye is the leader in intelligence- led security- as- a- service. Working as a seaml...,"IT Skills
Python
Big Data
Computer science
C++
Data analysis
cyber security
Consulting",30+ DAYS AGO
Agile Scrum Master,Majesco Software and Solutions India Pvt Ltd,3.5,(236 Reviews),10-15 Yrs,Not disclosed,Remote,"Provide work completion information required to process invoices, payments Should have ...","Relationship management
Data analysis
project support
Project management
Agile
Presales
Scheduling
Management",30+ DAYS AGO
"Manager, Delivery",Majesco Software and Solutions India Pvt Ltd,3.5,(236 Reviews),10-15 Yrs,Not disclosed,Remote,"Provide work completion information required to process invoices, payments Should have ...","Relationship management
Data analysis
project support
Project management
Process improvement
Presales
Scheduling
Management",30+ DAYS AGO
"Senior Lead Engineer, Oracle Developer",Majesco Software and Solutions India Pvt Ltd,3.5,(236 Reviews),5-10 Yrs,Not disclosed,Remote,Technical Skills - Advance SQL/PLSQL knowledge for Oracle database Advance PL/SQL progr...,"Oracle database
Analytical skills
Performance tuning
Data analysis
Database design
Test planning
Stored procedures
Management",30+ DAYS AGO
Senior Lead User Experience Information Architect,Majesco Software and Solutions India Pvt Ltd,3.5,(236 Reviews),7-10 Yrs,Not disclosed,Remote,"Responsible for partnering with brand, standards, and technical development teams to dr...","Graphics
Data analysis
B2B
Junior Staff
Interaction design
Agile
Information Architect
Research",30+ DAYS AGO
Sr Associate,UnitedLex Corporation,3.9,(234 Reviews),1-2 Yrs,Not disclosed,Gurgaon/Gurugram,Strong background with advanced MS Excel data analysis / manipulation capabilities such...,"BPO
data cleansing
Root cause analysis
Data analysis
Data validation
Litigation
MS Office tools
Manager Technology",30+ DAYS AGO
Business Analyst,Priceline.com,4,(7 Reviews),4-9 Yrs,Not disclosed,Mumbai,"Bachelor s degree in math, economics, computer sciences, quantitative field, or related...","Data analysis
Business Analyst
Hyperion
Analytical
Reconciliation
Financial planning
Agile
Budgeting",30+ DAYS AGO
ETL Developer,FutureSoft (India),3.8,(137 Reviews),3-6 Yrs,Not disclosed,Chennai,Experience with Enterprise Scheduling tools such as Control-M is a plusGood knowledge o...,"written communication
Informatica
RDBMS
ETL
SSIS
Unix
data analysis
modeling",30+ DAYS AGO
Vulnerability Management,FutureSoft (India),3.8,(137 Reviews),4-7 Yrs,Not disclosed,Gurgaon/Gurugram,Experience analyzing lists of vulnerabilities and adjusting residual risk scores taking...,"IT Skills
Python
Testing
Javascript
Data analysis
Assurance
Configuration management
Information security",30+ DAYS AGO
Scala Developer,Diverse Lynx,2.9,(63 Reviews),2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Preferred - Deployment of code using Dev Ops / Deployment frameworks and tools like - G...,"Jenkins
Spark
ANT
CICD
Gradle
Scala
SQL Queries
IT Skills",30+ DAYS AGO
Agile Scrum Master,Majesco Software and Solutions India Pvt Ltd,3.5,(236 Reviews),10-15 Yrs,Not disclosed,Remote,"Provide work completion information required to process invoices, payments Should have ...","Relationship management
Data analysis
project support
Project management
Agile
Presales
Scheduling
Management",30+ DAYS AGO
"Manager, Delivery",Majesco Software and Solutions India Pvt Ltd,3.5,(236 Reviews),10-15 Yrs,Not disclosed,Remote,"Provide work completion information required to process invoices, payments Should have ...","Relationship management
Data analysis
project support
Project management
Process improvement
Presales
Scheduling
Management",30+ DAYS AGO
"Senior Lead Engineer, Oracle Developer",Majesco Software and Solutions India Pvt Ltd,3.5,(236 Reviews),5-10 Yrs,Not disclosed,Remote,Technical Skills - Advance SQL/PLSQL knowledge for Oracle database Advance PL/SQL progr...,"Oracle database
Analytical skills
Performance tuning
Data analysis
Database design
Test planning
Stored procedures
Management",30+ DAYS AGO
Senior Lead User Experience Information Architect,Majesco Software and Solutions India Pvt Ltd,3.5,(236 Reviews),7-10 Yrs,Not disclosed,Remote,"Responsible for partnering with brand, standards, and technical development teams to dr...","Graphics
Data analysis
B2B
Junior Staff
Interaction design
Agile
Information Architect
Research",30+ DAYS AGO
Sr Associate,UnitedLex Corporation,3.9,(234 Reviews),1-2 Yrs,Not disclosed,Gurgaon/Gurugram,Strong background with advanced MS Excel data analysis / manipulation capabilities such...,"BPO
data cleansing
Root cause analysis
Data analysis
Data validation
Litigation
MS Office tools
Manager Technology",30+ DAYS AGO
Business Analyst,Priceline.com,4,(7 Reviews),4-9 Yrs,Not disclosed,Mumbai,"Bachelor s degree in math, economics, computer sciences, quantitative field, or related...","Data analysis
Business Analyst
Hyperion
Analytical
Reconciliation
Financial planning
Agile
Budgeting",30+ DAYS AGO
ETL Developer,FutureSoft (India),3.8,(137 Reviews),3-6 Yrs,Not disclosed,Chennai,Experience with Enterprise Scheduling tools such as Control-M is a plusGood knowledge o...,"written communication
Informatica
RDBMS
ETL
SSIS
Unix
data analysis
modeling",30+ DAYS AGO
Vulnerability Management,FutureSoft (India),3.8,(137 Reviews),4-7 Yrs,Not disclosed,Gurgaon/Gurugram,Experience analyzing lists of vulnerabilities and adjusting residual risk scores taking...,"IT Skills
Python
Testing
Javascript
Data analysis
Assurance
Configuration management
Information security",30+ DAYS AGO
Scala Developer,Diverse Lynx,2.9,(63 Reviews),2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Preferred - Deployment of code using Dev Ops / Deployment frameworks and tools like - G...,"Jenkins
Spark
ANT
CICD
Gradle
Scala
SQL Queries
IT Skills",30+ DAYS AGO
Lead - EMI Card Portfolio/Senior Lead - EMI Card Portfolio,Bajaj Finserv,4.2,(11874 Reviews),6-7 Yrs,Not disclosed,Pune,Tracking all important matrix of business on regular basis Initiate request and coordin...,"Product management
EMI
Data analysis
IT risk
MIS
Project management
Customer service
Monitoring",30+ DAYS AGO
Lead Scientist - Nutrition Science,Tata Chemicals,4.2,(1307 Reviews),4-8 Yrs,Not disclosed,Nellore,"Demonstrable experience in developing commercial Ingredients like Prebiotics, Probiotic...","Data analysis
Nutrition
Downstream processing
Market research
Support services
IPR
Application development
Fermentation technology",30+ DAYS AGO
Financial Analyst FP&A,Appario Retail Pvt Ltd.,3.2,(20 Reviews),2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"The successful candidate will be strategic, analytical and have the demonstrated abilit...","Data analysis
Financial reporting
Analytical
Finance
Financial planning
Financial Analyst
Management
Forecasting",30+ DAYS AGO
Financial Analyst-Business Finance Partner,Appario Retail Pvt Ltd.,3.2,(20 Reviews),2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Appario seeks a Financial Analyst to be a key member of its business finance team. This...,"Data analysis
Financial reporting
Business Finance
Analytical
Finance
Financial planning
Financial Analyst
Forecasting",30+ DAYS AGO
Business Development and Solutions,Boston Analytics,4.6,(24 Reviews),8-10 Yrs,Not disclosed,Gurgaon,Bachelors degree (Engineering/ Commerce/ Economics) from a top- tier university (such a...,"Data analysis
Business Development Manager
Analytical
collaterals
Consulting
Market intelligence
Tools
Resource mobilization",30+ DAYS AGO
Lead Scientist - Nutrition Science,Tata Chemicals,4.2,(1307 Reviews),4-8 Yrs,Not disclosed,Nellore,"Demonstrable experience in developing commercial Ingredients like Prebiotics, Probiotic...","Data analysis
Nutrition
Downstream processing
Market research
Support services
IPR
Application development
Fermentation technology",30+ DAYS AGO
Financial Analyst FP&A,Appario Retail Pvt Ltd.,3.2,(20 Reviews),2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"The successful candidate will be strategic, analytical and have the demonstrated abilit...","Data analysis
Financial reporting
Analytical
Finance
Financial planning
Financial Analyst
Management
Forecasting",30+ DAYS AGO
Financial Analyst-Business Finance Partner,Appario Retail Pvt Ltd.,3.2,(20 Reviews),2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Appario seeks a Financial Analyst to be a key member of its business finance team. This...,"Data analysis
Financial reporting
Business Finance
Analytical
Finance
Financial planning
Financial Analyst
Forecasting",30+ DAYS AGO
Business Development and Solutions,Boston Analytics,4.6,(24 Reviews),8-10 Yrs,Not disclosed,Gurgaon,Bachelors degree (Engineering/ Commerce/ Economics) from a top- tier university (such a...,"Data analysis
Business Development Manager
Analytical
collaterals
Consulting
Market intelligence
Tools
Resource mobilization",30+ DAYS AGO
Site Supervisor,Monarch Group,4.7,(5 Reviews),5-10 Yrs,Not disclosed,Mumbai,Site Supervisor 5 Minimum experience of 5 years in handling construction projects,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Asset Management
Vendor Management",30+ DAYS AGO
Project Manager,Monarch Group,4.7,(5 Reviews),5-10 Yrs,Not disclosed,Mumbai,Project Manager 5 Qualification : Civil Engineer Minimum experience of 5 years in handl...,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Asset Management
Vendor Management",30+ DAYS AGO
Secretary,E I Technologies Pvt. Ltd.,4.3,(38 Reviews),2-5 Yrs,Not disclosed,Bengaluru,CategorySecretary Positions2 Qualification SpecializationShort Hand Experience2 to 5 Ye...,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Asset Management
Vendor Management",30+ DAYS AGO
Principal Corporate Social Responsibility,Vimarsh,3.5,(2 Reviews),5-10 Yrs,Not disclosed,Gurgaon,"Full time permanent position, competitive compensation package commensurate with salary...","Corporate social responsibility
Data analysis
Horticulture
Financial reporting
Project management
Social work
Consulting
German",30+ DAYS AGO
Site Supervisor,Monarch Group,4.7,(5 Reviews),5-10 Yrs,Not disclosed,Mumbai,Site Supervisor 5 Minimum experience of 5 years in handling construction projects,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Asset Management
Vendor Management",30+ DAYS AGO
Project Manager,Monarch Group,4.7,(5 Reviews),5-10 Yrs,Not disclosed,Mumbai,Project Manager 5 Qualification : Civil Engineer Minimum experience of 5 years in handl...,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Asset Management
Vendor Management",30+ DAYS AGO
Secretary,E I Technologies Pvt. Ltd.,4.3,(38 Reviews),2-5 Yrs,Not disclosed,Bengaluru,CategorySecretary Positions2 Qualification SpecializationShort Hand Experience2 to 5 Ye...,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Asset Management
Vendor Management",30+ DAYS AGO
Principal Corporate Social Responsibility,Vimarsh,3.5,(2 Reviews),5-10 Yrs,Not disclosed,Gurgaon,"Full time permanent position, competitive compensation package commensurate with salary...","Corporate social responsibility
Data analysis
Horticulture
Financial reporting
Project management
Social work
Consulting
German",30+ DAYS AGO
Assistant Manager _ Tax DCC,KPMG,3.8,(2956 Reviews),8-9 Yrs,Not disclosed,Bangalore/Bengaluru,"Structured thinking to adapt quickly to changes in policy, processes and business prior...","Assistant Manager
Operational Excellence
People Leadership
Profitability
Implementing Strategies
Data Analysis
Business Operations
Talent Acquisition",30+ DAYS AGO
Associate Professional Application Designer,DXC Technology,3.8,(5873 Reviews),1-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelors degree in business, software engineering, computer science or related field p...","Computer science
Data analysis
Software design
Manager Quality Assurance
Analytical
Test planning
Product design
Troubleshooting",30+ DAYS AGO
Program Manager,Microsoft,4.3,(669 Reviews),7-11 Yrs,Not disclosed,Hyderabad/Secunderabad,Responsibilities You will work across the Azure Messaging product family including Serv...,"IT Skills
Cloud
Program Management
Azure
Procurement
Supply chain
Computer science
Automation",30+ DAYS AGO
Site Supervisor,Monarch Group,4.7,(5 Reviews),5-10 Yrs,Not disclosed,Mumbai,Site Supervisor 5 Minimum experience of 5 years in handling construction projects,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Asset Management
Vendor Management",30+ DAYS AGO
Project Manager,Monarch Group,4.7,(5 Reviews),5-10 Yrs,Not disclosed,Mumbai,Project Manager 5 Qualification : Civil Engineer Minimum experience of 5 years in handl...,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Asset Management
Vendor Management",30+ DAYS AGO
Secretary,E I Technologies Pvt. Ltd.,4.3,(38 Reviews),2-5 Yrs,Not disclosed,Bengaluru,CategorySecretary Positions2 Qualification SpecializationShort Hand Experience2 to 5 Ye...,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Asset Management
Vendor Management",30+ DAYS AGO
Principal Corporate Social Responsibility,Vimarsh,3.5,(2 Reviews),5-10 Yrs,Not disclosed,Gurgaon,"Full time permanent position, competitive compensation package commensurate with salary...","Corporate social responsibility
Data analysis
Horticulture
Financial reporting
Project management
Social work
Consulting
German",30+ DAYS AGO
Assistant Manager _ Tax DCC,KPMG,3.8,(2956 Reviews),8-9 Yrs,Not disclosed,Bangalore/Bengaluru,"Structured thinking to adapt quickly to changes in policy, processes and business prior...","Assistant Manager
Operational Excellence
People Leadership
Profitability
Implementing Strategies
Data Analysis
Business Operations
Talent Acquisition",30+ DAYS AGO
Associate Professional Application Designer,DXC Technology,3.8,(5873 Reviews),1-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelors degree in business, software engineering, computer science or related field p...","Computer science
Data analysis
Software design
Manager Quality Assurance
Analytical
Test planning
Product design
Troubleshooting",30+ DAYS AGO
Program Manager,Microsoft,4.3,(669 Reviews),7-11 Yrs,Not disclosed,Hyderabad/Secunderabad,Responsibilities You will work across the Azure Messaging product family including Serv...,"IT Skills
Cloud
Program Management
Azure
Procurement
Supply chain
Computer science
Automation",30+ DAYS AGO
"Process Lead, Client Accounting",BGRS,3.8,(39 Reviews),3-8 Yrs,Not disclosed,Bengaluru,Experience of supervising other staff and managing team workloads Graduate education or...,"Career development
Data analysis
Accounting
Workflow
Wellness
IPR
Customer service
Windows",30+ DAYS AGO
Product Manager,ITH Technologies Pvt. Ltd.,4.1,(5 Reviews),2-7 Yrs,Not disclosed,Kanpur,"As a Product Manager, you will be responsible for defining, communicating, and deliveri...","Product management
Data analysis
Technology management
Project management
Strategic planning
Marketing operations
Business strategy
Management",30+ DAYS AGO
